Modulation,MMD,Wasserstein Distance
AM-DSB,0.75028205,0.9583564671723238
AM-SSB,0.5867078,0.9282421300123125
FMCW,0.045409005,0.9464252091557926
PULSED,0.0067471797,0.8576881902576342
