step,G_loss,D_loss,Real_Score,Fake_Score
0,0.7149478197097778,10.371963500976562,0.49426016211509705,0.48945748805999756
1,0.7167108058929443,10.340989112854004,0.4967215955257416,0.48668959736824036
2,0.7135877013206482,10.335391998291016,0.4934394657611847,0.49261441826820374
3,0.7113091349601746,10.314377784729004,0.48990124464035034,0.4900922179222107
4,0.7062948942184448,10.250757217407227,0.4971427321434021,0.4897574782371521
5,0.7195761799812317,10.236013412475586,0.4945736527442932,0.4881736934185028
6,0.7084717154502869,10.174630165100098,0.48942404985427856,0.49177590012550354
7,0.7185984253883362,10.13617992401123,0.492472767829895,0.4918575882911682
8,0.6930521130561829,10.077559471130371,0.4960658550262451,0.4971006214618683
9,0.7072017788887024,10.022446632385254,0.49271491169929504,0.4941377341747284
10,0.6919040679931641,9.965664863586426,0.5002493858337402,0.5012125372886658
11,0.6853370666503906,9.93641471862793,0.49108967185020447,0.5034663677215576
12,0.676794707775116,9.824233055114746,0.4934590458869934,0.5059529542922974
13,0.6697367429733276,9.811408042907715,0.4707174301147461,0.5146801471710205
14,0.640872597694397,9.703774452209473,0.4901513457298279,0.5247510671615601
15,0.6347897052764893,9.642861366271973,0.49245262145996094,0.5344384908676147
16,0.5979831218719482,9.596419334411621,0.481381893157959,0.548750638961792
17,0.586807370185852,9.509214401245117,0.47776928544044495,0.559102475643158
18,0.5617151856422424,9.436700820922852,0.48114830255508423,0.5721985101699829
19,0.5367938280105591,9.403921127319336,0.465477854013443,0.5902107357978821
20,0.5232566595077515,9.32542610168457,0.47126153111457825,0.590216875076294
21,0.48985612392425537,9.293890953063965,0.46700844168663025,0.6125332117080688
22,0.46416187286376953,9.283294677734375,0.4582960605621338,0.6364408731460571
23,0.42448335886001587,9.287264823913574,0.42063456773757935,0.6493426561355591
24,0.3893253207206726,9.28107738494873,0.4289265275001526,0.6830379962921143
25,0.37366288900375366,9.2227783203125,0.41902345418930054,0.6903603076934814
26,0.3583756685256958,9.23716926574707,0.4216277003288269,0.698687732219696
27,0.3745909333229065,9.130433082580566,0.3986612558364868,0.6848974227905273
