Modulation,MMD,Wasserstein Distance
AM-DSB,0.16576414003685017,0.8641392039378405
AM-SSB,0.17214595170287553,0.90502208750799
FMCW,0.02792146569280786,0.6711090594628709
PULSED,0.21331177717263747,0.8023846454888939
